source,destination,permanent,isEnabled,clicks,impressions,priorityScore
/rekomendasi-rakit-pc-5-jutaan,/blog/rekomendasi-rakit-pc-5-jutaan,true,true,334,58773,46.19
/jasa-instal-aplikasi-surabaya,/blog/jasa-instal-aplikasi-surabaya,true,true,248,6624,38.93
/jasa-cetak-buku-surabaya,/blog/jasa-cetak-buku-surabaya,true,true,207,14750,42.78
/jasa-rakit-pc-surabaya-murah,/blog/jasa-rakit-pc-surabaya-murah,true,true,196,9781,38.48
/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/blog/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,true,true,183,5240,40.82
/download-pes-2016-iso-game-pc,/blog/download-pes-2016-iso-game-pc,true,true,174,2253,35.87
/jasa-install-game-dan-isi-game-surabaya,/blog/jasa-install-game-dan-isi-game-surabaya,true,true,106,2641,37.07
/jasa-install-software-macbook,/blog/jasa-install-software-macbook,true,true,100,1456,31.03
/jasa-mengembalikan-data-terhapus-surabaya,/blog/jasa-mengembalikan-data-terhapus-surabaya,true,true,99,2385,31.72
/jual-game-pc-jakarta,/blog/jual-game-pc-jakarta,true,true,88,1661,32.34
/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga,/blog/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga,true,true,75,2225,30.61
/jasa-recovery-data-surabaya,/blog/jasa-recovery-data-surabaya,true,true,66,5126,31.51
/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre,/blog/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre,true,true,62,405,33.22
/jasa-flash-hp-surabaya,/blog/jasa-flash-hp-surabaya,true,true,56,2215,29.56
/jasa-install-linux-install-server-linux,/blog/jasa-install-linux-install-server-linux,true,true,51,1072,34.08
/jasa-isi-lagu-karaoke-surabaya,/blog/jasa-isi-lagu-karaoke-surabaya,true,true,48,1600,29.74
/service-laptop-asus-surabaya,/blog/service-laptop-asus-surabaya,true,true,44,8907,37.88
/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo,/blog/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo,true,true,43,3596,31.57
/jasa-install-macbook-bootcamp-surabaya,/blog/jasa-install-macbook-bootcamp-surabaya,true,true,43,1294,29.64
/download-iso-windows-10-terbaru,/blog/download-iso-windows-10-terbaru,true,true,43,3464,28.37
/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran,/blog/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran,true,true,39,1992,28.88
/jasa-cetak-buku-dari-pdf-surabaya,/blog/jasa-cetak-buku-dari-pdf-surabaya,true,true,33,1103,26.57
/service-hp-surabaya-service-android-surabaya,/blog/service-hp-surabaya-service-android-surabaya,true,true,32,1683,27.15
/tempat-isi-game-pc-surabaya,/blog/tempat-isi-game-pc-surabaya,true,true,31,482,31.44
/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos,/blog/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos,true,true,31,779,25.81
/jasa-install-software-microsoft-office,/blog/jasa-install-software-microsoft-office,true,true,30,1905,27.14
/jasa-install-autocad,/blog/jasa-install-autocad,true,true,29,790,32.96
/terbaik-jual-game-pc-cirebon,/blog/terbaik-jual-game-pc-cirebon,true,true,29,603,27.49
/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo,/blog/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo,true,true,29,902,25.8
/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya,/blog/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya,true,true,28,729,25.34
/jasa-install-software-kasir-cloud-bisa-online-ipos-5-surabaya,/blog/jasa-install-software-kasir-cloud-bisa-online-ipos-5-surabaya,true,true,27,1272,26.1
/jasa-pasang-peredam-suara-surabaya-karaoke-home-theater,/blog/jasa-pasang-peredam-suara-surabaya-karaoke-home-theater,true,true,25,1379,25.97
/percetakan-buku-murah-surabaya,/blog/percetakan-buku-murah-surabaya,true,true,24,1112,25.79
/paket-home-karaoke-eksklusif-vip-laptop-komputer-jasa-pemasangan,/blog/paket-home-karaoke-eksklusif-vip-laptop-komputer-jasa-pemasangan,true,true,24,837,25.02
/rakit-pc-1-jutaan-di-2025-realistis-atau-mustahil,/blog/rakit-pc-1-jutaan-di-2025-realistis-atau-mustahil,true,true,22,4010,36.71
/panduan-rakit-pc-3-jutaan-terbaik-update-2025-all-new-build,/blog/panduan-rakit-pc-3-jutaan-terbaik-update-2025-all-new-build,true,true,22,1853,29.95
/service-komputer-surabaya-panggilan,/blog/service-komputer-surabaya-panggilan,true,true,21,6114,27.9
/jasa-install-dan-update-windows-10-surabaya-murah,/blog/jasa-install-dan-update-windows-10-surabaya-murah,true,true,21,4013,27.18
/jasa-sewa-laptop-surabaya,/blog/jasa-sewa-laptop-surabaya,true,true,21,3619,26
/sewa-karaoke-surabaya-gresik-malang-sidoarjo-pacet-trawas-jawatimur,/blog/sewa-karaoke-surabaya-gresik-malang-sidoarjo-pacet-trawas-jawatimur,true,true,21,886,24.65
/jasa-install-windows-11-sidoarjo,/blog/jasa-install-windows-11-sidoarjo,true,true,20,1129,24.88
/jasa-install-windows-11-surabaya,/blog/jasa-install-windows-11-surabaya,true,true,20,1125,24.87
/rakit-pc-10-jutaan-2025-dominasi-gaming-1440p-produktivitas,/blog/rakit-pc-10-jutaan-2025-dominasi-gaming-1440p-produktivitas,true,true,19,1406,25.75
/jasa-install-ulang-windows-10-surabaya-panggilan,/blog/jasa-install-ulang-windows-10-surabaya-panggilan,true,true,19,1468,25.66
/terbaik-rakit-pc-4-jutaan-terbaik-2025,/blog/terbaik-rakit-pc-4-jutaan-terbaik-2025,true,true,18,1424,30.17
/isi-game-pc-surabaya,/blog/isi-game-pc-surabaya,true,true,18,518,28.76
/rakit-pc-6-jutaan-2025-mesin-gaming-1080p-high-setting-terbaik,/blog/rakit-pc-6-jutaan-2025-mesin-gaming-1080p-high-setting-terbaik,true,true,18,694,25.8
/jasa-install-windows-7-8-10-11-sidoarjo,/blog/jasa-install-windows-7-8-10-11-sidoarjo,true,true,18,895,24.14
/jasa-install-ulang-windows-8-8-1-surabaya,/blog/jasa-install-ulang-windows-8-8-1-surabaya,true,true,16,3943,27.03
/rakit-pc-gaming-fullset-10-jutaan,/blog/rakit-pc-gaming-fullset-10-jutaan,true,true,16,1822,25.11
/jasa-service-komputer-laptop-notebook-macbook-surabaya,/blog/jasa-service-komputer-laptop-notebook-macbook-surabaya,true,true,16,1248,24.29
/jasa-instal-software-surabaya-windows-macbook,/blog/jasa-instal-software-surabaya-windows-macbook,true,true,16,1205,24.24
/jasa-cetak-buku-sidoarjo,/blog/jasa-cetak-buku-sidoarjo,true,true,15,453,29.88
/jasa-rakit-pc-unbk-server-client-terbaik-termurah,/blog/jasa-rakit-pc-unbk-server-client-terbaik-termurah,true,true,15,2647,25.35
/printer-gagal-menarik-kertas-ini-5-penyebab-dan-cara-mengatasinya,/blog/printer-gagal-menarik-kertas-ini-5-penyebab-dan-cara-mengatasinya,true,true,14,2712,35.74
/jasa-install-microsoft-office-cepat-dan-bergaransi,/blog/jasa-install-microsoft-office-cepat-dan-bergaransi,true,true,14,1511,30.27
/jasa-install-game-pc-laptop-xbox-ps3-ps4-lengkap-dan-update-jasa-install-game-pc-laptop-xbox-ps3-ps4-surabaya-sidoarjo,/blog/jasa-install-game-pc-laptop-xbox-ps3-ps4-lengkap-dan-update-jasa-install-game-pc-laptop-xbox-ps3-ps4-surabaya-sidoarjo,true,true,14,844,26.94
/rekomendasi-pc-rakitan-1-jutaan,/blog/rekomendasi-pc-rakitan-1-jutaan,true,true,14,4218,25.93
/jasa-service-macbook-surabaya-bisa-ditunggu,/blog/jasa-service-macbook-surabaya-bisa-ditunggu,true,true,14,3599,25.65
/jasa-upgrade-ssd-laptop-surabaya-mac-imac-sidoarjo-malang-gresik,/blog/jasa-upgrade-ssd-laptop-surabaya-mac-imac-sidoarjo-malang-gresik,true,true,14,1234,23.83
/jasa-install-autocad-2010-2013-2016-surabaya-sidoarjo,/blog/jasa-install-autocad-2010-2013-2016-surabaya-sidoarjo,true,true,14,322,21.66
/jasa-install-game-surabaya,/blog/jasa-install-game-surabaya,true,true,13,373,25.27
/hubungi-kami,/blog/hubungi-kami,true,true,13,436,22.84
/jasa-install-solidworks,/blog/jasa-install-solidworks,true,true,12,333,30.01
/no-1-jual-game-pc-kebumen,/blog/no-1-jual-game-pc-kebumen,true,true,12,204,27.25
/jasa-pasang-ac-surabaya-bergaransi-professional-jawa-timur,/blog/jasa-pasang-ac-surabaya-bergaransi-professional-jawa-timur,true,true,12,4140,24.39
/rakit-pc-gaming-5-jutaan-fullset,/blog/rakit-pc-gaming-5-jutaan-fullset,true,true,12,1577,23.74
/jasa-pasang-software-kasir-minimarket-point-of-sales-surabaya,/blog/jasa-pasang-software-kasir-minimarket-point-of-sales-surabaya,true,true,12,1099,23.13
/jual-dvd-windows-7-8-1-10-pro-original-license-asli-microsoft,/blog/jual-dvd-windows-7-8-1-10-pro-original-license-asli-microsoft,true,true,12,461,21.7
/no-1-jual-game-pc-bekasi,/blog/no-1-jual-game-pc-bekasi,true,true,11,135,27.16
/jasa-cetak-buku-mojokerto,/blog/jasa-cetak-buku-mojokerto,true,true,11,597,21.83
