batch,migrationAction,seoPriorityAction,legacyType,oldPath,suggestedTargetPath,clicks,impressions,priorityScore,mappingConfidence,page
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/rekomendasi-rakit-pc-5-jutaan,/blog/rekomendasi-rakit-pc-5-jutaan,334,58773,46.19,medium,https://kotacom.id/rekomendasi-rakit-pc-5-jutaan
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-instal-aplikasi-surabaya,/blog/jasa-instal-aplikasi-surabaya,248,6624,38.93,medium,https://kotacom.id/jasa-instal-aplikasi-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-cetak-buku-surabaya,/blog/jasa-cetak-buku-surabaya,207,14750,42.78,medium,https://kotacom.id/jasa-cetak-buku-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-rakit-pc-surabaya-murah,/blog/jasa-rakit-pc-surabaya-murah,196,9781,38.48,medium,https://kotacom.id/jasa-rakit-pc-surabaya-murah
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/blog/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,183,5240,40.82,medium,https://kotacom.id/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/download-pes-2016-iso-game-pc,/blog/download-pes-2016-iso-game-pc,174,2253,35.87,medium,https://kotacom.id/download-pes-2016-iso-game-pc
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-game-dan-isi-game-surabaya,/blog/jasa-install-game-dan-isi-game-surabaya,106,2641,37.07,medium,https://kotacom.id/jasa-install-game-dan-isi-game-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-software-macbook,/blog/jasa-install-software-macbook,100,1456,31.03,medium,https://kotacom.id/jasa-install-software-macbook
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-mengembalikan-data-terhapus-surabaya,/blog/jasa-mengembalikan-data-terhapus-surabaya,99,2385,31.72,medium,https://kotacom.id/jasa-mengembalikan-data-terhapus-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jual-game-pc-jakarta,/blog/jual-game-pc-jakarta,88,1661,32.34,medium,https://kotacom.id/jual-game-pc-jakarta
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga,/blog/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga,75,2225,30.61,medium,https://kotacom.id/jasa-root-android-surabaya-no-root-free-bisa-unlock-custom-rom-juga
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-recovery-data-surabaya,/blog/jasa-recovery-data-surabaya,66,5126,31.51,medium,https://kotacom.id/jasa-recovery-data-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre,/blog/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre,62,405,33.22,medium,https://kotacom.id/jasa-isi-film-surabaya-full-hd-hd-2k-4k-semua-genre
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-flash-hp-surabaya,/blog/jasa-flash-hp-surabaya,56,2215,29.56,medium,https://kotacom.id/jasa-flash-hp-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-linux-install-server-linux,/blog/jasa-install-linux-install-server-linux,51,1072,34.08,medium,https://kotacom.id/jasa-install-linux-install-server-linux
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-isi-lagu-karaoke-surabaya,/blog/jasa-isi-lagu-karaoke-surabaya,48,1600,29.74,medium,https://kotacom.id/jasa-isi-lagu-karaoke-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/service-laptop-asus-surabaya,/blog/service-laptop-asus-surabaya,44,8907,37.88,medium,https://kotacom.id/service-laptop-asus-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo,/blog/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo,43,3596,31.57,medium,https://kotacom.id/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-macbook-bootcamp-surabaya,/blog/jasa-install-macbook-bootcamp-surabaya,43,1294,29.64,medium,https://kotacom.id/jasa-install-macbook-bootcamp-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/download-iso-windows-10-terbaru,/blog/download-iso-windows-10-terbaru,43,3464,28.37,medium,https://kotacom.id/download-iso-windows-10-terbaru
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran,/blog/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran,39,1992,28.88,medium,https://kotacom.id/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-cetak-buku-dari-pdf-surabaya,/blog/jasa-cetak-buku-dari-pdf-surabaya,33,1103,26.57,medium,https://kotacom.id/jasa-cetak-buku-dari-pdf-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/service-hp-surabaya-service-android-surabaya,/blog/service-hp-surabaya-service-android-surabaya,32,1683,27.15,medium,https://kotacom.id/service-hp-surabaya-service-android-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/tempat-isi-game-pc-surabaya,/blog/tempat-isi-game-pc-surabaya,31,482,31.44,medium,https://kotacom.id/tempat-isi-game-pc-surabaya
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos,/blog/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos,31,779,25.81,medium,https://kotacom.id/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-software-microsoft-office,/blog/jasa-install-software-microsoft-office,30,1905,27.14,medium,https://kotacom.id/jasa-install-software-microsoft-office
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-install-autocad,/blog/jasa-install-autocad,29,790,32.96,medium,https://kotacom.id/jasa-install-autocad
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/terbaik-jual-game-pc-cirebon,/blog/terbaik-jual-game-pc-cirebon,29,603,27.49,medium,https://kotacom.id/terbaik-jual-game-pc-cirebon
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo,/blog/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo,29,902,25.8,medium,https://kotacom.id/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo
batch_1_auto_high,redirect_auto,migrate_now,root_post_legacy,/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya,/blog/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya,28,729,25.34,medium,https://kotacom.id/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya
