page,oldPath,clicks,impressions,priorityScore,seoPriorityAction,migrationAction,suggestedTargetPath,legacyType,mappingConfidence,verdict,indexingState,coverageState,inspectionError,statusCode,title,metaDescription,canonical,robots,metadataIssues,fetchError,readiness
https://www.kotacom.id/about,/about,0,135,20.01,migrate_now,redirect_auto,/blog/about,root_post_legacy,medium,PASS,INDEXING_ALLOWED,Dikirim dan diindeks,,200,About kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/about/,"index, follow",title_too_short,,ready_to_redirect
https://www.kotacom.id/,/,226,9989,46.36,migrate_now,keep_path,/,home,high,PASS,INDEXING_ALLOWED,Dikirim dan diindeks,,200,kotacom.id - IT Service & Publications Terpercaya,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/,"index, follow",,,keep_verify
https://www.kotacom.id/products/simulasi-rakit-pc-surabaya-jasa-rakit-pc-surabaya,/products/simulasi-rakit-pc-surabaya-jasa-rakit-pc-surabaya,5,173,24.17,migrate_now,keep_path,/products/simulasi-rakit-pc-surabaya-jasa-rakit-pc-surabaya,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Simulasi Rakit PC Surabaya - Jasa Rakit pc Surabaya - Products - kotacom.id,Simulasi Rakit PC Surabaya - Jasa Rakit pc Surabaya,,,,,keep_verify
https://www.kotacom.id/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,3,202,25.78,migrate_now,keep_path,/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Hardisk Eksternal 1TB Full Isi Film HD Game PC Dan Lainnya 0 - Products - kotacom.id,Hardisk Eksternal 1TB Full Isi Film HD Game PC Dan Lainnya 0,,,,,keep_verify
https://www.kotacom.id/services/it-support-terbaik,/services/it-support-terbaik,3,106,20.27,migrate_now,keep_path,/services/it-support-terbaik,service,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Layanan IT Support Profesional - Dukungan Teknis Terpercaya - Services - kotacom.id,"Layanan IT Support profesional untuk UMKM dan bisnis kecil di Surabaya-Sidoarjo. Service laptop, PC, server dengan harga terjangkau dan teknisi berpengalaman.",https://kotacom.id/services/it-support-terbaik/,"index, follow",title_too_long,,keep_verify
https://www.kotacom.id/products/paket-speaker-karaoke-bob-audio-8inc-power-amplifier-bt-2750,/products/paket-speaker-karaoke-bob-audio-8inc-power-amplifier-bt-2750,2,29,23.73,migrate_now,keep_path,/products/paket-speaker-karaoke-bob-audio-8inc-power-amplifier-bt-2750,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Paket Speaker Karaoke BOB Audio 8inc Power Amplifier BT 2750 - Products - kotacom.id,[block id=&#34;promo&#34;],,,,,keep_verify
https://www.kotacom.id/products/pc-rakitan-player-karaoke-2tb-30000-lagu-bukan-geisler-nakamichi,/products/pc-rakitan-player-karaoke-2tb-30000-lagu-bukan-geisler-nakamichi,2,44,21.44,migrate_now,keep_path,/products/pc-rakitan-player-karaoke-2tb-30000-lagu-bukan-geisler-nakamichi,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,PC Rakitan Player Karaoke 2TB 30.000 Lagu Bukan Geisler Nakamichi - Products - kotacom.id,Ingin Punya player karaoke yang bisa update lagu terus menerus? Ingin Punya Player karaoke yang bisa digunakan sebagai home theather sekaligus? Ingin Player Karaoke yang bisa putar youtube dan browsing juga?,,,,,keep_verify
https://www.kotacom.id/products/rakit-pc-gaming-ryzen-5-2200g-gtx-1650-4gb-ssd-120gb-8gb-500gb,/products/rakit-pc-gaming-ryzen-5-2200g-gtx-1650-4gb-ssd-120gb-8gb-500gb,2,95,20.09,migrate_now,keep_path,/products/rakit-pc-gaming-ryzen-5-2200g-gtx-1650-4gb-ssd-120gb-8gb-500gb,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Rakit PC Gaming Ryzen 5 2200G GTX 1650 4GB SSD 120gb 8GB 500GB - Products - kotacom.id,Bingung cari rakit PC yang sesuai kebutuhan? Tidak tahu part-part yang cocok?,,,,,keep_verify
https://www.kotacom.id/services/website-software-development-terbaik,/services/website-software-development-terbaik,2,201,17.09,migrate_now,keep_path,/services/website-software-development-terbaik,service,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Jasa Pembuatan Website & Software Development Profesional - Services - kotacom.id,"Jasa pembuatan website dan software development untuk UMKM dan bisnis kecil di Surabaya-Sidoarjo. Website toko online, company profile, CRM, CMS dengan harga terjangkau.",https://kotacom.id/services/website-software-development-terbaik/,"index, follow",title_too_long,,keep_verify
https://www.kotacom.id/products/paket-speaker-karaoke-bmb-8inch-bmb-da-1600-se-120wx2-112-mk-iii-12,/products/paket-speaker-karaoke-bmb-8inch-bmb-da-1600-se-120wx2-112-mk-iii-12,1,11,22.82,migrate_now,keep_path,/products/paket-speaker-karaoke-bmb-8inch-bmb-da-1600-se-120wx2-112-mk-iii-12,product,high,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Paket Speaker Karaoke BMB 8inch BMB Da-1600 Se (120wx2) 112 MK III 12 - Products - kotacom.id,[block id=&#34;promo&#34;],,,,,keep_verify
